Latitude,Longitude,Company
"27° 52' 05.00"" S","54° 28' 30.00"" W",Mobile-1
"30° 01' 19.56"" S","51° 09' 00.72"" W",Mobile-1
"30° 29' 02.70"" S","50° 29' 30.20"" W",Mobile-1
"30° 08' 16.50"" S","51° 19' 16.91"" W",Mobile-1
"30° 01' 22.90"" S","51° 04' 52.90"" W",Mobile-1
"27° 51' 27.00"" S","53° 00' 55.00"" W",Mobile-1
"28° 44' 56.85"" S","51° 40' 59.42"" W",Mobile-1
"30° 23' 29.58"" S","51° 44' 33.87"" W",Mobile-1
"29° 41' 41.20"" S","51° 05' 26.50"" W",Mobile-1
"31° 18' 57.00"" S","54° 05' 23.09"" W",Mobile-1
"29° 46' 07.79"" S","51° 08' 46.28"" W",Mobile-1
"30° 08' 10.82"" S","51° 13' 13.73"" W",Mobile-1
"30° 00' 36.97"" S","51° 07' 55.56"" W",Mobile-1
"30° 02' 09.92"" S","51° 11' 25.37"" W",Mobile-1
"29° 59' 18.00"" S","51° 18' 29.30"" W",Mobile-1
"27° 37' 09.00"" S","52° 23' 02.00"" W",Mobile-1
"33° 44' 16.54"" S","53° 22' 21.25"" W",Mobile-1
"28° 15' 40.80"" S","52° 24' 38.40"" W",Mobile-1
"30° 07' 29.74"" S","51° 20' 02.46"" W",Mobile-1
"28° 18' 13.20"" S","52° 48' 40.10"" W",Mobile-1
"27° 51' 39.02"" S","54° 26' 05.94"" W",Mobile-1
"29° 05' 17.00"" S","52° 35' 06.00"" W",Mobile-1
"30° 03' 13.57"" S","51° 11' 21.91"" W",Mobile-1
"30° 03' 10.84"" S","51° 10' 18.44"" W",Mobile-1
"27° 11' 14.90"" S","53° 43' 00.60"" W",Mobile-1
"29° 47' 29.58"" S","57° 05' 36.82"" W",Mobile-1
"29° 52' 17.90"" S","51° 15' 11.50"" W",Mobile-1
"30° 00' 35.86"" S","51° 08' 37.39"" W",Mobile-1
"29° 59' 23.85"" S","50° 07' 39.44"" W",Mobile-1
"30° 02' 24.11"" S","51° 11' 12.59"" W",Mobile-1
"29° 11' 34.52"" S","51° 12' 08.54"" W",Mobile-1
"29° 42' 02.01"" S","51° 30' 11.50"" W",Mobile-1
"30° 02' 30.48"" S","51° 12' 37.01"" W",Mobile-1
"30° 08' 52.40"" S","51° 20' 09.00"" W",Mobile-1
"30° 01' 51.06"" S","51° 08' 59.60"" W",Mobile-1
"29° 35' 56.19"" S","51° 10' 20.26"" W",Mobile-1
"29° 56' 53.40"" S","51° 11' 14.70"" W",Mobile-1
"27° 55' 04.10"" S","53° 02' 34.20"" W",Mobile-1
"31° 19' 14.50"" S","54° 06' 31.90"" W",Mobile-1
"31° 20' 08.10"" S","54° 06' 19.90"" W",Mobile-1
"29° 53' 49.80"" S","51° 08' 15.40"" W",Mobile-1
"31° 19' 54.00"" S","54° 04' 44.00"" W",Mobile-1
